Run 1,35
Run 2,35
Run 3,35
Run 4,35
Run 5,35
Run 6,35
Run 7,35
Run 8,35
Run 9,35
Run 10,35
Run 11,35
Run 12,35
Run 13,35
Run 14,35
Run 15,35
Run 16,35
Run 17,35
Run 18,35
Run 19,35
Run 20,35
Run 21,35
Run 22,35
Run 23,35
Run 24,35
Run 25,35
Run 26,35
Run 27,35
Run 28,35
Run 29,35
Run 30,35
Run 31,35
Run 32,35
Run 33,35
Run 34,35
Run 35,35
Run 36,35
Run 37,35
Run 38,35
Run 39,35
Run 40,35
Run 41,35
Run 42,35
Run 43,35
Run 44,35
Run 45,35
Run 46,35
Run 47,35
Run 48,35
Run 49,35
Run 50,35
Run 51,35
Run 52,35
Run 53,35
Run 54,35
Run 55,35
Run 56,35
Run 57,35
Run 58,35
Run 59,35
Run 60,35
Run 61,35
Run 62,35
Run 63,35
Run 64,35
Run 65,35
Run 66,35
Run 67,35
Run 68,35
Run 69,35
Run 70,35
Run 71,35
Run 72,35
Run 73,35
Run 74,35
Run 75,35
Run 76,35
Run 77,35
Run 78,35
Run 79,35
Run 80,35
Run 81,35
Run 82,35
Run 83,35
Run 84,35
Run 85,35
Run 86,35
Run 87,35
Run 88,35
Run 89,35
Run 90,35
Run 91,35
Run 92,35
Run 93,35
Run 94,35
Run 95,35
Run 96,35
Run 97,35
Run 98,35
Run 99,35
Run 100,35
Total time = 95.39575 seconds.
