Run 1,2610
Run 2,2396
Run 3,1005
Run 4,4804
Run 5,622
Run 6,3917
Run 7,6200
Run 8,1463
Run 9,2806
Run 10,10538
Run 11,2698
Run 12,2847
Run 13,1010
Run 14,2599
Run 15,1737
Run 16,2916
Run 17,2690
Run 18,2810
Run 19,5679
Run 20,2603
Run 21,2483
Run 22,3953
Run 23,4218
Run 24,415
Run 25,1122
Run 26,4786
Run 27,1069
Run 28,1068
Run 29,5726
Run 30,5306
Run 31,716
Run 32,7266
Run 33,2919
Run 34,1075
Run 35,2113
Run 36,5184
Run 37,3765
Run 38,1301
Run 39,1870
Run 40,3702
Run 41,2483
Run 42,694
Run 43,1148
Run 44,665
Run 45,1223
Run 46,1727
Run 47,1542
Run 48,2455
Run 49,5710
Run 50,1884
Run 51,861
Run 52,899
Run 53,6141
Run 54,3336
Run 55,1371
Run 56,5315
Run 57,873
Run 58,6087
Run 59,1798
Run 60,810
Run 61,4824
Run 62,3238
Run 63,6859
Run 64,1799
Run 65,2571
Run 66,1050
Run 67,791
Run 68,4490
Run 69,8337
Run 70,4159
Run 71,2016
Run 72,680
Run 73,2785
Run 74,1325
Run 75,3963
Run 76,3503
Run 77,474
Run 78,3097
Run 79,3287
Run 80,1705
Run 81,1369
Run 82,2579
Run 83,390
Run 84,2943
Run 85,5253
Run 86,1650
Run 87,2385
Run 88,2162
Run 89,6465
Run 90,1527
Run 91,1460
Run 92,5062
Run 93,1715
Run 94,3221
Run 95,578
Run 96,670
Run 97,1615
Run 98,2831
Run 99,2797
Run 100,1885
Total time = 95.65114 seconds.
Average time per run = 0.94704 seconds.
