Run 1,13382
Run 2,12330
Run 3,5189
Run 4,3856
Run 5,14009
Run 6,22881
Run 7,26164
Run 8,11307
Run 9,47386
Run 10,3613
Run 11,19648
Run 12,11124
Run 13,74018
Run 14,12899
Run 15,73243
Run 16,2640
Run 17,9597
Run 18,18488
Run 19,25889
Run 20,19294
Run 21,38318
Run 22,29820
Run 23,9263
Run 24,33058
Run 25,35598
Run 26,10145
Run 27,38867
Run 28,12979
Run 29,16327
Run 30,80025
Run 31,55142
Run 32,7003
Run 33,33089
Run 34,44594
Run 35,26229
Run 36,44929
Run 37,17607
Run 38,18088
Run 39,3258
Run 40,102542
Run 41,3527
Run 42,41714
Run 43,19690
Run 44,66765
Run 45,1309
Run 46,31007
Run 47,85738
Run 48,45185
Run 49,55165
Run 50,4237
Run 51,32338
Run 52,6311
Run 53,22159
Run 54,5729
Run 55,2823
Run 56,45627
Run 57,15333
Run 58,8791
Run 59,15557
Run 60,44853
Run 61,11896
Run 62,13228
Run 63,225208
Run 64,10262
Run 65,7153
Run 66,58226
Run 67,57353
Run 68,7716
Run 69,46062
Run 70,9638
Run 71,7591
Run 72,44158
Run 73,52170
Run 74,47076
Run 75,2611
Run 76,99017
Run 77,47120
Run 78,16826
Run 79,75700
Run 80,49169
Run 81,20794
Run 82,14112
Run 83,42239
Run 84,11183
Run 85,147890
Run 86,107850
Run 87,19250
Run 88,70850
Run 89,35453
Run 90,57861
Run 91,21474
Run 92,68449
Run 93,22818
Run 94,36374
Run 95,9910
Run 96,9482
Run 97,9904
Run 98,4337
Run 99,31249
Run 100,4681
Total time = 1137.98174 seconds.
Average time per run = 11.26715 seconds.
